PLAYER,TEAM,POSITION,GP,MIN,PPG,APG,RPG,SPG,BPG,TOV,FG_PCT,FG3_PCT,FT_PCT
Jay Huff,MEM,C,64,11.7,6.9,0.6,2.0,0.3,0.9,0.5,0.515,0.405,0.786
Jaylen Brown,BOS,G-F,63,34.3,22.2,4.5,5.8,1.2,0.3,2.6,0.463,0.324,0.764
Jaylen Clark,MIN,G,40,13.0,4.1,0.7,1.3,0.9,0.1,0.2,0.467,0.431,0.784
Jaylen Wells,MEM,F,79,25.9,10.4,1.7,3.4,0.6,0.1,0.9,0.425,0.352,0.822
Jaylin Williams,OKC,F,47,16.7,5.9,2.6,5.6,0.5,0.6,0.7,0.439,0.399,0.767
Jayson Tatum,BOS,F-G,72,36.4,26.8,6.0,8.7,1.1,0.5,2.9,0.452,0.343,0.814
Jeff Dowtin Jr.,PHI,G,41,15.1,7.0,1.9,1.5,0.6,0.3,0.4,0.487,0.4,0.733
Jeff Green,HOU,F,32,12.4,5.4,0.6,1.8,0.2,0.1,0.3,0.504,0.367,0.808
Jerami Grant,POR,F,47,32.4,14.4,2.1,3.5,0.9,1.0,1.4,0.373,0.365,0.849
Jeremiah Robinson-Earl,NOP,F,66,18.8,6.3,1.3,4.8,0.6,0.1,0.8,0.455,0.341,0.836
Jeremy Sochan,SAS,F,54,25.3,11.4,2.4,6.5,0.8,0.5,1.6,0.535,0.308,0.696
Jericho Sims,MIL,C,53,11.9,1.8,0.6,3.7,0.2,0.4,0.6,0.634,0.0,0.615
Jett Howard,ORL,G,60,11.7,4.5,0.7,1.2,0.2,0.2,0.6,0.374,0.296,0.696
Jimmy Butler III,GSW,F,55,31.7,17.5,5.4,5.4,1.4,0.3,1.3,0.504,0.308,0.842
Jock Landale,HOU,C,42,11.9,4.8,0.9,3.3,0.3,0.2,0.5,0.533,0.423,0.675
John Collins,UTA,F-C,40,30.5,19.0,2.0,8.2,1.0,1.0,2.6,0.527,0.399,0.848
John Konchar,MEM,G,46,12.1,2.4,0.9,3.3,0.7,0.3,0.3,0.451,0.371,0.875
Johnny Juzang,UTA,G,64,19.8,8.9,1.1,2.9,0.6,0.1,0.6,0.429,0.376,0.849
Jonas Valančiūnas,SAC,C,81,18.8,10.4,2.0,7.7,0.5,0.6,1.5,0.55,0.216,0.879
Jonathan Isaac,ORL,F,71,15.4,5.4,0.6,4.4,0.9,1.1,0.5,0.414,0.258,0.682
Jonathan Kuminga,GSW,F,47,24.3,15.3,2.2,4.6,0.8,0.4,1.5,0.454,0.305,0.668
Jonathan Mogbo,TOR,F,63,20.4,6.2,2.3,4.9,0.9,0.5,1.1,0.438,0.243,0.732
Jordan Clarkson,UTA,G,37,26.0,16.2,3.7,3.2,0.8,0.2,2.3,0.408,0.362,0.797
Jordan Goodwin,LAL,G,29,18.7,5.6,1.4,3.9,1.0,0.4,0.9,0.438,0.382,0.818
Jordan Hawkins,NOP,G,56,23.6,10.8,1.2,2.8,0.5,0.4,1.0,0.372,0.331,0.816
Jordan Miller,LAC,G,37,11.4,4.1,0.9,1.6,0.5,0.1,0.7,0.433,0.211,0.8
Jordan Poole,WAS,G,68,29.4,20.5,4.5,3.0,1.3,0.4,3.0,0.432,0.378,0.883
Jose Alvarado,NOP,G,56,24.4,10.3,4.6,2.4,1.3,0.3,1.5,0.392,0.359,0.811
Josh Giddey,CHI,G,70,30.2,14.6,7.2,8.1,1.2,0.6,2.9,0.465,0.378,0.781
Josh Green,CHA,G,68,27.8,7.4,1.6,2.5,1.1,0.2,1.0,0.428,0.391,0.681
Josh Hart,NYK,G,77,37.6,13.6,5.9,9.6,1.5,0.4,2.1,0.525,0.333,0.776
Josh Okogie,CHA,G,40,15.6,7.1,0.8,2.8,1.2,0.5,0.8,0.443,0.348,0.741
Jrue Holiday,BOS,G,62,30.6,11.1,3.9,4.3,1.1,0.4,1.2,0.443,0.353,0.909
Julian Champagnie,SAS,F,82,23.6,9.9,1.4,3.9,0.7,0.4,0.9,0.415,0.371,0.904
Julian Phillips,CHI,F,79,14.2,4.6,0.5,2.1,0.5,0.3,0.3,0.446,0.327,0.789
Julian Strawther,DEN,G,65,21.3,9.0,1.3,2.2,0.6,0.2,0.9,0.432,0.349,0.822
Julius Randle,MIN,F-C,69,32.3,18.7,4.7,7.1,0.7,0.2,2.8,0.485,0.344,0.806
Justin Champagnie,WAS,G-F,62,21.6,8.8,1.0,5.7,1.0,0.6,0.9,0.511,0.383,0.685
Justin Edwards,PHI,F,44,26.2,10.1,1.6,3.4,1.0,0.4,1.1,0.455,0.363,0.696
Jusuf Nurkić,CHA,C,51,20.8,8.9,2.3,7.8,0.8,0.7,1.9,0.477,0.305,0.664
KJ Martin,UTA,F,43,21.2,6.4,1.1,2.9,0.4,0.5,0.6,0.552,0.259,0.787
KJ Simpson,CHA,G,36,23.4,7.8,3.1,3.0,0.9,0.2,1.6,0.346,0.254,0.82
Kai Jones,DAL,C-F,40,11.7,5.0,0.6,3.1,0.4,0.6,0.5,0.798,0.2,0.719
Karl-Anthony Towns,NYK,C-F,72,35.0,24.4,3.1,12.8,1.0,0.7,2.7,0.526,0.42,0.829
Karlo Matković,NOP,F-C,42,18.8,7.7,1.1,5.0,0.5,1.0,1.0,0.574,0.318,0.773
